Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000047526507,8836c23c-6e29-4fa5-bb1d-507227ac8cf8,Italian Chicken Panini,1600000000047495276,,14.00,9/17/2025,No,No,786785957899,
1600000000047490061,89783d1e-56e1-4f59-98c6-4e605b344fca,Summer Berry salad,1600000000047495271,,15.00,9/17/2025,No,No,,
1600000000047746189,8c1bef95-b690-448d-9a97-2553b819bcb0,No mayo,1600000000047773768,,0.00,9/17/2025,No,Yes,,
1600000000100207987,8c423fdd-6cf6-4cfb-973a-121c6c2112d4,fanta glass,1600000000100207988,,4.75,10/6/2025,No,No,049000047844,
1600000000047095144,8c63bb75-fd60-410c-bfce-2250ce76b5d6,bacon,1600000000047149789,,3.00,9/17/2025,No,Yes,,
1600000000049378343,8c9f7ef9-7578-4a56-b6fc-8c85ade3f041,Trail Mix,1600000000049380065,,4.00,9/18/2025,No,No,,
1600000000047490060,8db66a63-e628-46c0-91bb-35639e69ee27,Southwest Caesar salad,1600000000047495270,,15.00,9/17/2025,No,No,010000000009,
1600000000047095145,8f5b1950-8845-4de4-9dd5-987ef79b52b0,sausage,1600000000047149790,,3.00,9/17/2025,No,Yes,,
1600000000100269950,9018b753-ee19-4a8b-b92f-b70ff2a1dfd5,hot peanuts,1600000000100269951,,2.50,10/6/2025,No,No,028400725163,
1600000000047130466,908a3c38-aff3-4ade-adba-4b6600bfcb2d,Breakfast crossiant,1600000000047099746,,8.00,9/17/2025,No,No,,
1600000000100984847,90e43f55-ebe4-422b-b5bc-70a4923c7f4b,crunch,1600000000100984848,,3.00,10/6/2025,No,No,099900908363,
1600000000047764556,9161da12-adcf-4091-afca-e4d737f56de0,red onion,1600000000047758443,,0.00,9/17/2025,No,Yes,,
1600000000047746183,9223290a-1baf-45f0-90f2-5d7a2ddfdacb,No pickles,1600000000047773762,,0.00,9/17/2025,No,Yes,,
1600000000047095143,934d5799-2150-4f73-8032-6100e0f16e2d,cream cheese,1600000000047149788,,1.00,9/17/2025,No,Yes,,
1600000000100210620,95c40048-046b-4b59-a9f4-786f9754ca30,sprite glass,1600000000100210621,,4.75,10/6/2025,No,No,049000047820,
1600000000575535080,970b95b4-9753-44f5-a05e-74916fdb5aa7,Waterloo Tangerine,1600000000575535081,,1.50,12/9/2025,No,No,819215023601,
1600000000100284279,974fa97f-b23f-47c7-afc0-7bc92344be75,mandarin jarrito,1600000000100284280,,3.95,10/6/2025,No,No,090478410012,
1600000000100984805,97a3ead9-877a-443f-8283-0756674cfa8c,reese's oreo mini,1600000000100984806,,1.25,10/6/2025,No,No,044000083809,
1600000000047287671,97bb9b39-c53c-4fc4-a1a6-4c643278b938,Frozen White chocolate mocha,1600000000047267613,,6.95,9/17/2025,No,No,,
1600000000047506805,985d9a6d-5c91-4914-b6b8-083c6c9fc868,Nilla Waffer pudding,1600000000047472747,,7.00,9/17/2025,No,No,654378987656,
1600000000100984859,9976299c-ac20-460f-be12-7b89539e6860,fritos,1600000000100984860,,1.00,10/6/2025,No,No,028400040037,
1600000000886491602,9a4e00ef-197a-4a5b-871c-1236a2578400,Celsius Artic,1600000000886006941,,4.00,1/7/2026,No,No,889392021417,
1600000000100984831,9adbc58f-3379-4b49-86c0-15fd6f69f6f9,starburst favereds,1600000000100984832,,3.00,10/6/2025,No,No,040000009702,
1600000000065036598,9bd58708-dfbe-4808-8cc0-3fc3fcfb3f6c,Diet coke,1600000000065036599,,3.00,9/25/2025,No,No,04965802,
1600000000386964926,9c660148-f98d-40de-b5a8-17931bcac2e9,Chicken salad,1600000000386887142,,8.00,11/19/2025,No,No,1111111119,
1600000000100984823,a033e3d2-3ac2-4c3e-b55d-647e78034405,skittles,1600000000100984824,,3.00,10/6/2025,No,No,040000001607,
1600000000047211589,a1a483a4-1749-4f2c-939f-7458fbd6ca24,Cafe Latte,1600000000047187377,,5.00,9/17/2025,No,No,,
1600000000047729888,a221ee1d-b330-4b70-b647-3d34f9107a3e,$grilled onions,1600000000047758425,,0.50,9/17/2025,No,Yes,,
1600000000047729889,a28de316-a448-4cc8-be67-6c923a195460,$mushrooms,1600000000047758426,,1.00,9/17/2025,No,Yes,,
